epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,13848.2,0.81275,0.45847,1.05253,0.61171,0.56672,0.60146,0.34838,1.64676,1.6608,1.68424,0.000310422,0.000310422,0.000310422
56,14097.1,0.80228,0.44887,1.0468,0.63758,0.57224,0.61341,0.35437,1.65207,1.62664,1.69228,0.000303818,0.000303818,0.000303818
57,14346.8,0.78949,0.44331,1.04124,0.69127,0.55738,0.60808,0.35478,1.65171,1.63985,1.69518,0.000297215,0.000297215,0.000297215
58,14597.6,0.78943,0.44365,1.03881,0.64981,0.56585,0.60807,0.3457,1.65895,1.63867,1.71244,0.000290612,0.000290612,0.000290612
59,14848.5,0.78095,0.43556,1.03562,0.6864,0.53702,0.62692,0.35469,1.66602,1.64724,1.7147,0.000284009,0.000284009,0.000284009
60,15096.4,0.7716,0.43365,1.0334,0.69209,0.58692,0.63484,0.36334,1.63708,1.64429,1.71127,0.000277405,0.000277405,0.000277405
61,15343,0.76593,0.42742,1.02974,0.66157,0.55997,0.6104,0.3551,1.65339,1.66704,1.72215,0.000270802,0.000270802,0.000270802
62,15589.3,0.75635,0.42372,1.02553,0.64696,0.57032,0.61942,0.35435,1.66945,1.68558,1.75101,0.000264199,0.000264199,0.000264199
63,15834,0.75156,0.42146,1.0227,0.67039,0.57645,0.6354,0.36213,1.64319,1.64003,1.73629,0.000257595,0.000257595,0.000257595
64,16079.3,0.74347,0.41481,1.0201,0.63599,0.59476,0.62579,0.35934,1.65501,1.68272,1.72088,0.000250992,0.000250992,0.000250992
65,16327.3,0.74103,0.41567,1.01554,0.62623,0.59904,0.61729,0.36,1.662,1.65286,1.71625,0.000244389,0.000244389,0.000244389
66,16573.3,0.73577,0.41161,1.01436,0.646,0.57197,0.61753,0.36217,1.67381,1.69229,1.74412,0.000237785,0.000237785,0.000237785
67,16817.6,0.72444,0.40249,1.00882,0.69364,0.52943,0.61433,0.35693,1.67913,1.70374,1.75322,0.000231182,0.000231182,0.000231182
68,17061.9,0.72141,0.40222,1.00697,0.66604,0.57342,0.63902,0.36983,1.67031,1.63718,1.75065,0.000224579,0.000224579,0.000224579
69,17307.9,0.71534,0.39667,1.00056,0.66824,0.53537,0.61929,0.35901,1.66823,1.71131,1.75151,0.000217976,0.000217976,0.000217976
70,17556,0.70906,0.39254,1.00084,0.63114,0.56199,0.61385,0.36265,1.66865,1.71696,1.74713,0.000211372,0.000211372,0.000211372
71,17805.3,0.7053,0.39175,0.99573,0.65341,0.5598,0.61287,0.35411,1.65275,1.70016,1.71995,0.000204769,0.000204769,0.000204769
72,18053.5,0.6943,0.38511,0.99357,0.64503,0.53611,0.61138,0.35417,1.67988,1.78867,1.75459,0.000198166,0.000198166,0.000198166
73,18298.6,0.69003,0.38337,0.98913,0.66644,0.54403,0.61423,0.35915,1.67164,1.77361,1.76359,0.000191562,0.000191562,0.000191562
74,18544,0.6819,0.38216,0.9902,0.65717,0.55103,0.61584,0.36452,1.65755,1.78953,1.76098,0.000184959,0.000184959,0.000184959
75,18787.3,0.67719,0.37405,0.98188,0.67142,0.53386,0.6147,0.36482,1.65083,1.73595,1.75191,0.000178356,0.000178356,0.000178356
76,19032.4,0.66671,0.3707,0.97848,0.64775,0.55452,0.61477,0.36056,1.67215,1.74932,1.76519,0.000171752,0.000171752,0.000171752
77,19276.7,0.66311,0.36842,0.97846,0.65112,0.54645,0.60164,0.35484,1.68264,1.76455,1.77571,0.000165149,0.000165149,0.000165149
78,19521,0.65711,0.36413,0.9765,0.64578,0.54367,0.6096,0.35519,1.6852,1.82503,1.79063,0.000158546,0.000158546,0.000158546
79,19763.3,0.65287,0.36483,0.97822,0.65959,0.54437,0.60623,0.35381,1.69091,1.80613,1.80936,0.000151943,0.000151943,0.000151943
80,20007.9,0.65244,0.3618,0.97434,0.67603,0.54498,0.61595,0.35821,1.68626,1.79676,1.80659,0.000145339,0.000145339,0.000145339
81,20253.6,0.64181,0.35251,0.96965,0.68375,0.52104,0.61191,0.35586,1.68549,1.81128,1.79679,0.000138736,0.000138736,0.000138736
82,20500.9,0.63509,0.35198,0.96721,0.63126,0.53954,0.60942,0.35553,1.68545,1.82856,1.79598,0.000132133,0.000132133,0.000132133
83,20747.3,0.62945,0.34763,0.96402,0.65051,0.53998,0.60951,0.35453,1.68256,1.8365,1.80109,0.000125529,0.000125529,0.000125529
84,20991.4,0.62745,0.34779,0.96429,0.66537,0.52751,0.60251,0.35127,1.68586,1.84581,1.80319,0.000118926,0.000118926,0.000118926
85,21236.1,0.6204,0.34442,0.96161,0.65801,0.55193,0.61235,0.35963,1.68522,1.79734,1.80911,0.000112323,0.000112323,0.000112323
86,21480.6,0.61858,0.34227,0.96036,0.68692,0.54263,0.61595,0.3639,1.68078,1.80371,1.80484,0.00010572,0.00010572,0.00010572
87,21725.6,0.61426,0.33904,0.95836,0.67501,0.55172,0.61349,0.36199,1.67985,1.79654,1.80601,9.91162e-05,9.91162e-05,9.91162e-05
88,21968.9,0.60828,0.33614,0.95687,0.67968,0.54558,0.61825,0.36195,1.68172,1.7895,1.80906,9.25129e-05,9.25129e-05,9.25129e-05
89,22212.2,0.59973,0.33376,0.95749,0.78188,0.49272,0.62163,0.36113,1.68936,1.78895,1.81708,8.59096e-05,8.59096e-05,8.59096e-05
90,22456,0.59259,0.32842,0.95119,0.68347,0.53337,0.61407,0.3566,1.68377,1.77781,1.80958,7.93063e-05,7.93063e-05,7.93063e-05
91,22721,0.53434,0.25462,0.9243,0.66848,0.52763,0.60057,0.34924,1.68184,1.78216,1.81788,7.2703e-05,7.2703e-05,7.2703e-05
92,22964.3,0.5182,0.24639,0.92009,0.71754,0.51355,0.59931,0.34878,1.6829,1.78917,1.82697,6.60997e-05,6.60997e-05,6.60997e-05
93,23211,0.51123,0.2445,0.91518,0.67815,0.52487,0.59454,0.34862,1.68143,1.80882,1.83431,5.94964e-05,5.94964e-05,5.94964e-05
94,23454.1,0.5011,0.23906,0.90782,0.68451,0.52304,0.5935,0.34585,1.68894,1.8326,1.8432,5.28931e-05,5.28931e-05,5.28931e-05
95,23697,0.49556,0.23852,0.90798,0.70172,0.51934,0.59754,0.34911,1.68769,1.82951,1.84259,4.62898e-05,4.62898e-05,4.62898e-05
96,23942.9,0.4906,0.23624,0.902,0.71889,0.51671,0.59378,0.34798,1.68825,1.84171,1.84197,3.96865e-05,3.96865e-05,3.96865e-05
97,24188.4,0.483,0.23279,0.90157,0.70722,0.52269,0.59774,0.34944,1.69159,1.83585,1.84666,3.30832e-05,3.30832e-05,3.30832e-05
98,24433.4,0.47837,0.23137,0.89987,0.6892,0.52471,0.59309,0.34916,1.69486,1.84425,1.84951,2.64799e-05,2.64799e-05,2.64799e-05
99,24677.3,0.47264,0.22837,0.89791,0.69012,0.52975,0.59732,0.35005,1.69396,1.85051,1.85235,1.98766e-05,1.98766e-05,1.98766e-05
100,24922.6,0.47091,0.22616,0.89538,0.69594,0.53051,0.59816,0.34994,1.69281,1.84484,1.85621,1.32733e-05,1.32733e-05,1.32733e-05
